user_id,total_hours,avg_hours,max_hours,unique_games,purchase_count,total_interactions,hours_per_game,purchase_ratio
5250,225.5,8.351851851851851,144.0,21,21,27,10.738095238095237,0.7777777777777778
76767,1227.0,21.910714285714285,365.0,36,36,56,34.083333333333336,0.6428571428571429
86540,255.0,2.6288659793814433,113.0,82,82,97,3.1097560975609757,0.845360824742268
103360,0.0,0.0,0.0,10,10,10,0.0,1.0
144736,0.1,0.011111111111111112,0.1,8,8,9,0.0125,0.8888888888888888
181212,2.2,0.15714285714285717,1.8,12,12,14,0.18333333333333335,0.8571428571428571
229911,390.5,8.677777777777777,165.0,27,27,45,14.462962962962964,0.6
298950,3745.4,8.629953917050692,1019.0,259,259,434,14.461003861003862,0.5967741935483871
299153,0.0,0.0,0.0,14,14,14,0.0,1.0
381543,3.0,0.2727272727272727,3.0,10,10,11,0.3,0.9090909090909091
547685,512.6,17.086666666666666,489.0,25,25,30,20.504,0.8333333333333334
554278,281.0,7.594594594594595,216.0,28,28,37,10.035714285714286,0.7567567567567568
561758,1040.9,4.6468750000000005,147.0,144,144,224,7.228472222222223,0.6428571428571429
577614,36.0,4.0,36.0,8,8,9,4.5,0.8888888888888888
604988,0.0,0.0,0.0,8,8,8,0.0,1.0
622362,71.0,5.071428571428571,35.0,10,10,14,7.1,0.7142857142857143
635733,0.6,0.06666666666666667,0.6,8,8,9,0.075,0.8888888888888888
683019,42.9,2.86,38.0,13,13,15,3.3,0.8666666666666667
714122,3.5,0.2692307692307692,1.6,10,10,13,0.35,0.7692307692307693
748719,1487.2,33.04888888888889,1329.0,30,30,45,49.57333333333334,0.6666666666666666
835015,0.0,0.0,0.0,8,8,8,0.0,1.0
861238,1.9,0.15833333333333333,0.7,9,9,12,0.2111111111111111,0.75
871990,134.2,8.946666666666665,131.0,12,12,15,11.183333333333332,0.8
937567,1.4000000000000001,0.0736842105263158,1.1,17,17,19,0.0823529411764706,0.8947368421052632
948368,88.5,5.205882352941177,83.0,14,14,17,6.321428571428571,0.8235294117647058
975449,2165.0,3.7327586206896552,458.0,378,378,580,5.727513227513228,0.6517241379310345
976129,0.5,0.05555555555555555,0.5,8,8,9,0.0625,0.8888888888888888
983600,55.0,4.230769230769231,55.0,12,12,13,4.583333333333333,0.9230769230769231
994489,1396.2,48.1448275862069,1087.0,23,23,29,60.70434782608696,0.7931034482758621
1006880,0.0,0.0,0.0,8,8,8,0.0,1.0
1024319,12.1,1.3444444444444443,12.1,8,8,9,1.5125,0.8888888888888888
1072465,102.7,4.890476190476191,75.0,15,15,21,6.846666666666667,0.7142857142857143
1129452,671.4,19.18285714285714,257.0,22,22,35,30.518181818181816,0.6285714285714286
1135775,1.3,0.14444444444444446,1.3,8,8,9,0.1625,0.8888888888888888
1268792,0.5,0.05555555555555555,0.5,8,8,9,0.0625,0.8888888888888888
1364546,553.9,50.35454545454545,553.0,9,9,11,61.544444444444444,0.8181818181818182
1423371,241.0,24.1,241.0,9,9,10,26.77777777777778,0.9
1601069,0.0,0.0,0.0,8,8,8,0.0,1.0
1601773,0.0,0.0,0.0,10,10,10,0.0,1.0
1603625,0.0,0.0,0.0,8,8,8,0.0,1.0
1612666,167.1,3.7133333333333334,28.0,28,28,45,5.9678571428571425,0.6222222222222222
1665511,0.0,0.0,0.0,8,8,8,0.0,1.0
1699101,0.5,0.05555555555555555,0.5,8,8,9,0.0625,0.8888888888888888
1713646,0.7,0.05384615384615384,0.7,12,12,13,0.05833333333333333,0.9230769230769231
1834453,197.0,14.071428571428571,175.0,12,12,14,16.416666666666668,0.8571428571428571
1851828,0.0,0.0,0.0,10,10,10,0.0,1.0
1936551,826.3,3.4864978902953583,53.0,151,151,237,5.4721854304635755,0.6371308016877637
1950243,505.4,4.176859504132231,71.0,77,77,121,6.5636363636363635,0.6363636363636364
1971801,0.0,0.0,0.0,10,10,10,0.0,1.0
2039434,79.3,4.173684210526315,69.0,16,16,19,4.95625,0.8421052631578947
2083767,469.4,5.047311827956989,196.0,61,61,93,7.695081967213114,0.6559139784946236
2087859,0.0,0.0,0.0,14,14,14,0.0,1.0
2110581,292.5,4.642857142857143,140.0,35,35,63,8.357142857142858,0.5555555555555556
2184507,6.2,0.41333333333333333,5.2,12,12,15,0.5166666666666667,0.8
2259650,2067.4,6.7342019543973946,557.0,196,196,307,10.54795918367347,0.6384364820846905
2382003,0.0,0.0,0.0,8,8,8,0.0,1.0
2428602,474.4,27.905882352941177,473.0,15,15,17,31.626666666666665,0.8823529411764706
2531540,84.6,2.3499999999999996,72.0,29,29,36,2.9172413793103447,0.8055555555555556
2613043,0.2,0.022222222222222223,0.2,8,8,9,0.025,0.8888888888888888
2643609,769.5,9.865384615384615,286.0,49,49,78,15.704081632653061,0.6282051282051282
2753525,1238.6,7.201162790697674,176.0,115,115,172,10.770434782608694,0.6686046511627907
3001740,0.0,0.0,0.0,10,10,10,0.0,1.0
3054990,60.0,6.666666666666667,60.0,8,8,9,7.5,0.8888888888888888
3238976,5.5,0.6111111111111112,5.5,8,8,9,0.6875,0.8888888888888888
3244702,68.5,4.566666666666666,63.0,12,12,15,5.708333333333333,0.8
3249166,23.0,2.5555555555555554,23.0,8,8,9,2.875,0.8888888888888888
3347312,0.8,0.08888888888888889,0.8,8,8,9,0.1,0.8888888888888888
3372923,0.0,0.0,0.0,10,10,10,0.0,1.0
3449240,2038.8,13.153548387096773,618.0,98,98,155,20.804081632653062,0.632258064516129
3450426,2.7,0.2076923076923077,2.0,8,8,13,0.3375,0.6153846153846154
3498717,0.2,0.015384615384615385,0.2,12,12,13,0.016666666666666666,0.9230769230769231
3527485,529.9,13.944736842105263,455.0,23,23,38,23.039130434782606,0.6052631578947368
3614782,0.0,0.0,0.0,14,14,14,0.0,1.0
3663009,0.9,0.06923076923076923,0.9,12,12,13,0.075,0.9230769230769231
3674653,772.0,85.77777777777777,772.0,8,8,9,96.5,0.8888888888888888
3747293,8.1,0.6230769230769231,8.1,12,12,13,0.6749999999999999,0.9230769230769231
3783783,1460.9,31.758695652173916,882.0,27,27,46,54.10740740740741,0.5869565217391305
3897969,0.2,0.022222222222222223,0.2,8,8,9,0.025,0.8888888888888888
3974133,0.0,0.0,0.0,8,8,8,0.0,1.0
3979930,395.6,8.990909090909092,145.0,27,27,44,14.651851851851852,0.6136363636363636
4064412,1394.7,92.98,1312.0,11,11,15,126.7909090909091,0.7333333333333333
4156158,9.7,1.0777777777777777,9.7,8,8,9,1.2125,0.8888888888888888
4318904,0.0,0.0,0.0,8,8,8,0.0,1.0
4325465,0.6,0.06666666666666667,0.6,8,8,9,0.075,0.8888888888888888
4485779,1697.0,188.55555555555554,1697.0,8,8,9,212.125,0.8888888888888888
4595423,22.7,0.6305555555555555,11.8,27,27,36,0.8407407407407407,0.75
4603800,1.6,0.14545454545454548,1.6,10,10,11,0.16,0.9090909090909091
4677023,2.8,0.3111111111111111,2.8,8,8,9,0.35,0.8888888888888888
4812175,4.4,0.44000000000000006,4.2,8,8,10,0.55,0.8
4824107,579.5,12.877777777777778,273.0,31,31,45,18.693548387096776,0.6888888888888889
4834220,2070.6,42.25714285714285,474.0,33,33,49,62.74545454545454,0.673469387755102
